setid,"Temperature, K",Weight fraction of N-methyldiethanolamine,Weight fraction of 1-ethyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wQSmF,303.15,0.216,0.522,101,1104.8,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.221,0.401,101,1079.7,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.226,0.273,101,1054.4,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.231,0.139,101,1030.7,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.438,0.397,101,1089.3,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.447,0.27,101,1065.6,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,303.15,0.457,0.138,101,1042.6,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.216,0.522,101,1098.1,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.221,0.401,101,1074.6,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.226,0.273,101,1048.9,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
wQSmF,313.15,0.231,0.139,101,1026.7,Yusoff et al. (2013),Density,Liquid,AAWveB,CN(CCO)CCO,N-methyldiethanolamine,AADYJk,O,water,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
