setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Mole ratio of chromium chloride to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ENDte,283.15,0.243,101,0.333,1277.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,283.15,0.298,101,0.333,1259.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,283.15,0.346,101,0.333,1241.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,283.15,0.39,101,0.333,1225.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,293.15,0.243,101,0.333,1271,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,293.15,0.298,101,0.333,1253,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,293.15,0.346,101,0.333,1235.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,293.15,0.39,101,0.333,1219.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,298.15,0.243,101,0.333,1267.9,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,298.15,0.298,101,0.333,1250,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,298.15,0.346,101,0.333,1232.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,298.15,0.39,101,0.333,1216.8,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,303.15,0.243,101,0.333,1264.8,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,303.15,0.298,101,0.333,1247,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
ENDte,303.15,0.346,101,0.333,1229.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
