setid,Weight fraction of water,"Temperature, K","Pressure, kPa",Solvent: Weight ratio of lithium bromide to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZrOEu,0.3,303.15,100,2.5,1564,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,313.15,100,2.5,1557,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,323.15,100,2.5,1551,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,333.15,100,2.5,1544,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,343.15,100,2.5,1538,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,353.15,100,2.5,1531,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,363.15,100,2.5,1525,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.3,373.15,100,2.5,1518,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,303.15,100,2.5,1499,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,313.15,100,2.5,1493,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,323.15,100,2.5,1488,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,333.15,100,2.5,1484,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,343.15,100,2.5,1480,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,353.15,100,2.5,1472,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,363.15,100,2.5,1464,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.35,373.15,100,2.5,1460,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,303.35,100,2.5,1441,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,313.45,100,2.5,1436,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,323.15,100,2.5,1430,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,333.35,100,2.5,1424,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,343.35,100,2.5,1419,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,353.15,100,2.5,1413,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,363.35,100,2.5,1407,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
ZrOEu,0.4,373.15,100,2.5,1401,Yang et al. (2019a),Density,Liquid,AAQklV,[Br-].[Li+],lithium bromide,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AADYJk,O,water
