setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gXVKm,0.00999,101,298,0.05,-0.734,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.02007,101,298,0.05,-0.764,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.04017,101,298,0.05,-0.803,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.06017,101,298,0.05,-0.829,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.0884,101,298,0.05,-0.853,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.09904,101,298,0.05,-0.863,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.112,101,298,0.05,-0.87,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.1175,101,298,0.05,-0.904,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.1502,101,298,0.05,-0.885,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
gXVKm,0.167,101,298,0.05,-0.899,De Lisi et al. (1988b),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAQxal,CCCCCO,pentan-1-ol,AADYJk,O,water
