setid,"MolaLity of tetrahexylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ozVYV,0.0097,101,298.15,1198.1,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
ozVYV,0.02384,101,298.15,1196.5,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
ozVYV,0.0381,101,298.15,1194.9,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
ozVYV,0.04908,101,298.15,1193.7,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
ozVYV,0.05501,101,298.15,1193,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
ozVYV,0.06993,101,298.15,1191.4,Zhao et al. (2016),Density,Liquid,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide,,,
