setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg",Solvent: Weight fraction of dipotassium hydrogen phosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OdqjD,298.15,0.4586,0.1,101,1103.4,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.4904,0.2,101,1193.62,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.4927,0.15,101,1148.6,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.533,0.15,101,1149.89,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.5461,0.2,101,1195.11,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.5641,0.1,101,1107.43,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.5998,0.2,101,1196.51,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.6485,0.2,101,1197.79,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.6827,0.1,101,1111.83,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.6945,0.15,101,1154.95,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
OdqjD,298.15,0.7007,0.2,101,1199.18,Zafarani-Moattar and Sarmad (2012),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
