setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium L-leucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DWLyv,303.15,0.19112,100,1000.35,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.23353,100,1001.35,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.28272,100,1002.52,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.34242,100,1003.84,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.39568,100,1005.02,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.45269,100,1006.25,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,303.15,0.51271,100,1007.54,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0,100,994.035,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.03562,100,994.921,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.05661,100,995.428,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.07558,100,995.879,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.0961,100,996.37,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.11405,100,996.791,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.15771,100,997.799,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.19457,100,998.637,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.24687,100,999.798,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.28133,100,1000.57,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.34497,100,1001.95,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.39916,100,1003.13,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.4555,100,1004.31,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,308.15,0.51271,100,1005.43,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0,100,992.219,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.03562,100,993.087,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.05661,100,993.589,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.07558,100,994.031,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.0961,100,994.501,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.11405,100,994.919,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.15771,100,995.899,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.19457,100,996.701,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.24687,100,997.848,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.28133,100,998.573,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.34497,100,999.913,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.39916,100,1001.03,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.4555,100,1002.11,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,313.15,0.51271,100,1003.22,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
