setid,Mole fraction of 1-ethyl-3-methylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DFaEm,0.3346,293.15,102,1542.9,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,298.15,102,1536.3,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,303.15,102,1529.9,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,308.15,102,1523.4,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,313.15,102,1516.9,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,318.15,102,1510.4,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,323.15,102,1504,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,328.15,102,1497.7,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,333.15,102,1491.3,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,338.15,102,1484.9,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,343.15,102,1478.4,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,348.15,102,1472,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.3346,353.15,102,1464.2,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.5026,293.15,102,1450.6,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.5026,298.15,102,1445.2,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.5026,303.15,102,1439.8,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.5026,308.15,102,1434.5,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
DFaEm,0.5026,313.15,102,1429.2,Jovell et al. (2020),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,AAyorQ,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluoropentanoic acid,,,
