setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EKxJh,0,303.15,97.6,973.1,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,308.15,97.6,968.1,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,313.15,97.6,963,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,318.15,97.6,958,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,323.15,97.6,952.9,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,328.15,97.6,947.8,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,333.15,97.6,942.7,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,338.15,97.6,937.6,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,343.15,97.6,932.5,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
EKxJh,0,348.15,97.6,927.3,Yang et al. (2017a),Density,Liquid,AAPLMm,c1ccncc1,pyridine,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
