setid,"Temperature, K",Mole fraction of 3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Spdzn,288.15,0,101,999.1,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.0501,101,1061.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.0965,101,1086.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.2075,101,1111.4,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.3982,101,1125.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.582,101,1131.2,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.7243,101,1133.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.7976,101,1134.5,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,0.9346,101,1135.8,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Spdzn,288.15,1,101,1136.6,Rilo et al. (2012b),Density,Liquid,AADYJk,O,water,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
