setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SYtIl,288.15,0.0526,101,948.94,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.1,101,987.33,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.1577,101,1029.59,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.3445,101,1141.8,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.4969,101,1214,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.6702,101,1280.7,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.745,101,1305.3,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.828,101,1330,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,288.15,0.9468,101,1362.3,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
SYtIl,298.15,0.0526,101,939.64,Pal et al. (2010),Density,Liquid,AAUBLb,CCOCC(C)O,1-ethoxy-2-propanol,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
