setid,"MolaLity of N-octyl-3-methylpyridinium tetrafluoroborate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
soqsV,0.0026,101,298.15,997.124,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0071,101,298.15,997.257,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0151,101,298.15,997.492,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0169,101,298.15,997.545,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0233,101,298.15,997.732,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0312,101,298.15,997.962,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.039,101,298.15,998.189,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.044,101,298.15,998.333,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0497,101,298.15,998.498,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0553,101,298.15,998.658,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0572,101,298.15,998.693,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0615,101,298.15,998.747,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0703,101,298.15,998.803,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0711,101,298.15,998.801,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0762,101,298.15,998.837,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0811,101,298.15,998.894,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0894,101,298.15,998.972,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.0984,101,298.15,999.023,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.1067,101,298.15,999.088,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.1149,101,298.15,999.156,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
soqsV,0.147,101,298.15,999.402,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,ABETZR,CCCCCCCC[n+]1cccc(C)c1.F[B-](F)(F)F,N-octyl-3-methylpyridinium tetrafluoroborate,,,
