setid,"MolaLity of tetraphenylphosphorane bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RUjEB,0.00493,101,298.15,0.076,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.00581,101,298.15,0.09,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.01144,101,298.15,0.176,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.01389,101,298.15,0.213,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.02734,101,298.15,0.415,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.02855,101,298.15,0.433,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.05366,101,298.15,0.806,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.08281,101,298.15,1.2309,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.11712,101,298.15,1.7236,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
RUjEB,0.14129,101,298.15,2.0663,Lankford et al. (1984),Density,Liquid,AAGIBL,CO,methanol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
