setid,"Temperature, K","MolaLity of lithium trifluoromethanesulfonate, mol/kg","MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TdiKh,298.15,0,6.996,100,1497,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,0,12.985,100,1636,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,0,16.893,100,1690,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,0,18.958,100,1712,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,0,20.951,100,1714,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,2.33,6.96,100,1529,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,4.32,12.96,100,1668,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,5.64,16.91,100,1712,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,6.33,19.02,100,1735,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,7.01,21,100,1747,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,7.012,0,100,1357,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,12.083,0,100,1488,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,16.81,0,100,1562,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,298.15,20.907,0,100,1614,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,0,6.996,100,1488,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,0,12.985,100,1626,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,0,16.893,100,1680,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,0,18.958,100,1701,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,2.33,6.96,100,1524,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,4.32,12.96,100,1658,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
TdiKh,308.15,5.64,16.91,100,1705,Horwitz et al. (2021),Density,Liquid,AAeAbd,O=S(=O)([O-])C(F)(F)F.[Li+],lithium trifluoromethanesulfonate,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water
