setid,Mole fraction of tetrapropylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wkOiq,0.013,298.15,101,995.5,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.013,308.15,101,991.5,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.013,318.15,101,986.9,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.013,328.15,101,979.4,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,298.15,101,996.2,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,308.15,101,991,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,318.15,101,985.4,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,328.15,101,979.3,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,338.15,101,972.6,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
wkOiq,0.0306,348.15,101,963.5,Pontes et al. (2017),Density,Liquid,AAqiHP,CCC[N+](CCC)(CCC)CCC.[Cl-],tetrapropylammonium chloride,AADYJk,O,water,,,
