setid,Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pUDXY,0,283.15,100,1406.9,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,1000,1408.3,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,5000,1414.2,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,10000,1421.3,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,15000,1428.1,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,20000,1434.6,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,25000,1440.7,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,30000,1446.7,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,35000,1452.4,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
pUDXY,0,283.15,40000,1457.9,Curras et al. (2014),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
