setid,"MolaLity of 1-hexyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kRqVE,0.052,101,323.15,785.45,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.102,101,323.15,789.95,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.153,101,323.15,794.44,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.203,101,323.15,798.75,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.302,101,323.15,806.95,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.352,101,323.15,810.99,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.403,101,323.15,815.07,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.45,101,323.15,818.65,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.5029,101,323.15,822.68,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.597,101,323.15,829.6,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.7,101,323.15,836.92,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.797,101,323.15,843.69,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,0.907,101,323.15,850.73,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
kRqVE,1.002,101,323.15,856.64,Gonzalez et al. (2014a),Density,Liquid,AAONLE,CCC(C)O,butan-2-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
