setid,"MolaLity of 1-butyl-2,3-dimethylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UtGhp,0,283.15,100,999.72,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0,288.15,100,999.14,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0,293.15,100,998.24,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0,298.15,100,997.08,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0,303.15,100,995.68,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0.1,283.15,100,1004.75,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0.1,288.15,100,1004.08,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0.1,293.15,100,1003.12,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0.1,298.15,100,1001.89,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
UtGhp,0.1,303.15,100,1000.44,Fang et al. (2017),Density,Liquid,AADYJk,O,water,AAsrdg,CCCC[n+]1ccn(C)c1C.[Br-],"1-butyl-2,3-dimethylimidazolium bromide",,,
