setid,"Temperature, K",Mole fraction of trimethylammonium hydrogen sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FqVqk,298.15,0,101,1025.9,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.0183,101,1041.67,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.0369,101,1053.11,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.0964,101,1086.47,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.138,101,1103.99,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.2014,101,1128.96,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.3115,101,1160.07,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.3587,101,1170.49,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.4311,101,1187.05,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
FqVqk,298.15,0.5579,101,1214.39,Kavitha et al. (2012b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AAeLPm,C[NH+](C)C.O=S(=O)([O-])O,trimethylammonium hydrogen sulfate,,,
