setid,"Temperature, K",Mole fraction of 1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
joGLG,288.15,0,101,1105.74,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.1003,101,1180.1,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.2,101,1230.12,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.2997,101,1264.3,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.3997,101,1289.96,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.4998,101,1308.63,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.5999,101,1322.56,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.7001,101,1334.52,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.8109,101,1345.61,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,0.8998,101,1353.54,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,288.15,1,101,1361.87,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,293.15,0,101,1100.76,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
joGLG,293.15,0.1003,101,1175.57,Wang et al. (2023b),Density,Liquid,AAriGj,Cn1cc[n+](CCCN)c1.F[B-](F)(F)F,1-(3-aminopropyl)-3-methyl-1H-imidazolium tetrafluoroborate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
