setid,"Temperature, K",Mole fraction of N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uiNDa,288.15,0,100,787.527,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.1001,100,919.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.2,100,1002.3,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.3,100,1059.45,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.4,100,1101.49,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.5002,100,1133.2,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.6002,100,1158.53,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.7001,100,1176.97,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.8,100,1192.91,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
uiNDa,288.15,0.8999,100,1205.9,Fang et al. (2022),Density,Liquid,AAoWKo,[N-](C#N)C#N.COCC[N+]1(CCCC1)C,N-(2-methoxyethyl)-N-methylpyrrolidinium dicyanamide,AAHueB,CC#N,acetonitrile,,,
