setid,"Temperature, K",Mole fraction of 1-decyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yZtqm,283,0,101,999.713,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000105,101,999.733,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000185,101,999.76,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000277,101,999.776,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000377,101,999.82,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000452,101,999.839,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000546,101,999.878,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000728,101,999.945,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.000836,101,999.997,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001002,101,1000.05,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001099,101,1000.05,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.00118,101,1000.1,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001259,101,1000.11,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001351,101,1000.13,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001452,101,1000.14,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001539,101,1000.14,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001631,101,1000.14,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001869,101,1000.13,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,283,0.001988,101,1000.13,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0,101,999.13,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000105,101,999.142,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000185,101,999.164,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000277,101,999.176,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000377,101,999.206,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000452,101,999.216,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000546,101,999.247,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000728,101,999.3,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.000836,101,999.347,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001002,101,999.38,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001099,101,999.375,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.00118,101,999.412,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001259,101,999.417,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001351,101,999.423,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001452,101,999.42,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001539,101,999.421,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001631,101,999.412,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001869,101,999.393,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,288,0.001988,101,999.38,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0,101,998.247,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000105,101,998.25,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000185,101,998.269,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000277,101,998.279,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000377,101,998.297,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000452,101,998.301,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000546,101,998.325,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000728,101,998.361,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.000836,101,998.402,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001002,101,998.424,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001099,101,998.408,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.00118,101,998.437,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001259,101,998.436,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001351,101,998.434,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001452,101,998.423,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001539,101,998.415,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001631,101,998.403,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
yZtqm,293,0.001869,101,998.372,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,AAxopW,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-decyl-3-methylimidazolium chloride,,,
