setid,"Temperature, K","MolaLity of benzyldimethyltetradecylammonium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rIxCY,288.15,0.0024,101.325,999.094,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0029,101.325,999.089,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0038,101.325,999.079,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0046,101.325,999.07,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0071,101.325,999.04,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0083,101.325,999.026,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0097,101.325,999.009,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0113,101.325,998.99,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.014,101.325,998.96,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.015,101.325,998.949,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0171,101.325,998.928,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0191,101.325,998.907,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0218,101.325,998.879,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0235,101.325,998.862,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0255,101.325,998.841,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0266,101.325,998.83,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
rIxCY,288.15,0.0312,101.325,998.785,Gonzalez-Perez et al. (2003),Density,Liquid,ABSobX,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],benzyldimethyltetradecylammonium chloride,AADYJk,O,water,,,
