setid,"Temperature, K","Mole fraction of (3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Mole fraction of (3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tCTcZ,283.7,0.043,0.043,101,0.0001982,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,283.7,0.4985,0.4985,101,0.0001574,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,294,0.041,0.041,101,0.0001996,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,294,0.498,0.498,101,0.0001598,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,303.9,0.0465,0.0465,101,0.0002001,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,303.9,0.495,0.495,101,0.0001629,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,313.5,0.0475,0.0475,101,0.0002012,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,313.5,0.495,0.495,101,0.0001662,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,323.5,0.0435,0.0435,101,0.0002033,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,323.5,0.4935,0.4935,101,0.0001694,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,333.9,0.0465,0.0465,101,0.0002034,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
tCTcZ,333.9,0.494,0.494,101,0.0001729,Shiflett and Yokozeki (2008b),Density,Liquid,AAwsVY,[2H][C@@](F)(C(F)(F)F)[C@@]([2H])(F)C(F)(F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",AAwsPE,[2H][C@@](F)(C(F)(F)C(F)(F)F)[C@@]([2H])(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoro-3,4-dideuteropentane",ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate
