setid,"Temperature, K",Mole fraction of 1-butyronitrile-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yrxCV,288.15,0,100,787.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.1004,100,951,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.2003,100,1058.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.3013,100,1131.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.3996,100,1179.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.4999,100,1218.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.5996,100,1248.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.7001,100,1271.8,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.8024,100,1289.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,0.8885,100,1302.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,288.15,1,100,1316.1,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0,100,782,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.1004,100,946.9,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.2003,100,1054.3,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.3013,100,1126.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.3996,100,1175.6,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.4999,100,1214.1,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.5996,100,1244.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.7001,100,1268.2,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.8024,100,1286.1,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
yrxCV,293.15,0.8885,100,1298.7,Zhang et al. (2018b),Density,Liquid,AAteQp,C[n+]1ccn(CCCC#N)c1.F[B-](F)(F)F,1-butyronitrile-3-methylimidazolium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
