setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZXYNE,298.15,0,101,776.55,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.1118,101,919.74,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.1536,101,957.71,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.2247,101,1008.5,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.3784,101,1079.62,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.4601,101,1104.79,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.5515,101,1127.21,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.666,101,1149.45,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.7581,101,1163.71,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
ZXYNE,298.15,0.8423,101,1174.52,Ciocirlan and Iulian (2012),Density,Liquid,AAHueB,CC#N,acetonitrile,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
