setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KMDxp,298.15,0.10009,101,1078.64,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.19983,101,1105.45,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.29972,101,1127.3,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.40003,101,1145.56,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.49993,101,1160.76,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.59982,101,1173.77,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.69989,101,1184.7,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.79711,101,1193.8,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,298.15,0.89906,101,1202.4,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.10009,101,1072.78,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.19983,101,1098.6,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.29972,101,1119.46,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.40003,101,1136.76,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.49993,101,1151.14,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.59982,101,1163.4,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.69989,101,1173.86,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.79711,101,1182.6,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
KMDxp,303.15,0.89906,101,1190.5,Gao et al. (2009),Density,Liquid,AAUVMY,O=Cc1ccccc1,benzaldehyde,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
