setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uCmLx,1467,0.21,313.15,1531.7,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,1948,0.268,313.15,1525.8,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,2702,0.328,313.15,1517,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,2936,0.348,313.15,1513.9,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,3199,0.366,313.15,1509.5,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,3622,0.399,313.15,1503.6,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,4192,0.439,313.15,1495.9,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,4923,0.493,313.15,1483.5,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,5511,0.528,313.15,1475.5,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,6265,0.567,313.15,1465.6,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,7063,0.594,313.15,1456,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
uCmLx,8263,0.648,313.15,1443.4,Watanabe et al. (2022),Density,Liquid,ABSqAF,CC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylacetamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
