setid,"MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RaITl,0.0452,101,298.15,781.327,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.0689,101,298.15,783.783,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.0835,101,298.15,785.289,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.1021,101,298.15,787.19,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.1088,101,298.15,787.875,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.1409,101,298.15,791.131,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.1939,101,298.15,796.403,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.2643,101,298.15,803.205,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.3566,101,298.15,811.886,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
RaITl,0.4576,101,298.15,821.093,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
