setid,"Temperature, K","MolaLity of N-butyl-N-methylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XoKwT,293.15,0,101.3,998.206,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.0191,101.3,998.817,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.0432,101.3,999.57,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.0523,101.3,999.854,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.0677,101.3,1000.33,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.0906,101.3,1001.05,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.1197,101.3,1001.94,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.1525,101.3,1002.94,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.1851,101.3,1003.93,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.2298,101.3,1005.26,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
XoKwT,293.15,0.2908,101.3,1007.07,Warminska and Kloskowski (2023),Density,Liquid,ABDXNQ,CC(=O)N[C@@H](C)C(=O)[O-].CCCC[N+]1(C)CCOCC1,N-butyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
