setid,"Temperature, K","MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DkdPM,288.15,0.005,100,999.3,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,288.15,0.01,100,999.5,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,288.15,0.03,100,1000.3,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,288.15,0.05,100,1001.1,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,298.15,0.005,100,997.2,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,298.15,0.01,100,997.4,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,298.15,0.03,100,998.2,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,298.15,0.05,100,999,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,308.15,0.005,100,994.225,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,308.15,0.01,100,994.42,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,308.15,0.03,100,995.2,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,308.15,0.05,100,996,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,318.15,0.005,100,990.419,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,318.15,0.01,100,990.618,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,318.15,0.03,100,991.414,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
DkdPM,318.15,0.05,100,992.21,Kumar et al. (2017c),Density,Liquid,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water,,,
