setid,Mole fraction of dimethylformamide,"MolaLity of tetrapentylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fJIcu,0.0196,0.1215,298.15,101.325,998.65,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0196,0.151,298.15,101.325,999.201,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0196,0.1702,298.15,101.325,999.552,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0196,0.201,298.15,101.325,1000.11,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0196,0.2292,298.15,101.325,1000.6,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0196,0.2365,298.15,101.325,1000.73,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.0474,298.15,101.325,997.28,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.0667,298.15,101.325,997.684,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.0948,298.15,101.325,998.261,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.1208,298.15,101.325,998.775,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.148,298.15,101.325,999.313,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.1739,298.15,101.325,999.78,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.1949,298.15,101.325,1000.17,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.2247,298.15,101.325,1000.69,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0417,0.2479,298.15,101.325,1001.09,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.0452,298.15,101.325,997.812,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.0697,298.15,101.325,998.286,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.098,298.15,101.325,998.801,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.1205,298.15,101.325,999.21,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.1472,298.15,101.325,999.683,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.1756,298.15,101.325,1000.13,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.1979,298.15,101.325,1000.49,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.2125,298.15,101.325,1000.72,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.0995,0.2286,298.15,101.325,1000.89,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.0449,298.15,101.325,997.471,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.07,298.15,101.325,997.859,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.1047,298.15,101.325,998.36,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.1291,298.15,101.325,998.63,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.1347,298.15,101.325,998.738,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.1737,298.15,101.325,999.289,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
fJIcu,0.1678,0.1987,298.15,101.325,999.601,Garcia-Paneda et al. (1997),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,AADYJk,O,water
