setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lArRe,288.15,0,101,954,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.0306,101,963,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.0647,101,970,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.1021,101,977,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.1457,101,984,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.1939,101,990,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.2496,101,995,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.3143,101,1000,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.39,101,1005,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.4809,101,1010,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.5908,101,1014,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
lArRe,288.15,0.7259,101,1017,Yan et al. (2014b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
