setid,"MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BcEzf,6.2173,86,298.15,1126.97,Shokri and Sadeghi (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water,,,
BcEzf,7.7699,86,298.15,1138.1,Shokri and Sadeghi (2020),Density,Liquid,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide,AADYJk,O,water,,,
