setid,"MolaLity of 1-ethyl-3-methylimidazolium ammonioacetate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
saLns,0,101,298.15,997.047,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.01143,101,298.15,997.442,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.02346,101,298.15,997.86,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.04483,101,298.15,998.579,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.08506,101,298.15,999.918,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.10019,101,298.15,1000.39,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.14118,101,298.15,1001.69,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.21909,101,298.15,1004.12,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.27339,101,298.15,1005.77,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.33561,101,298.15,1007.66,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.39828,101,298.15,1009.45,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.44427,101,298.15,1010.83,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.51678,101,298.15,1012.92,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
saLns,0.57191,101,298.15,1014.52,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAjgVS,CC[n+]1ccn(C)c1.NCC(=O)[O-],1-ethyl-3-methylimidazolium ammonioacetate,,,
