setid,"MolaLity of tetrahexylammonium bromide, mol/kg",Solvent: Mole fraction of dimethylformamide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XgRIq,0,0,101,298.15,1199.21,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0,0.25,101,298.15,1138.75,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0,0.5,101,298.15,1075.99,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0,0.75,101,298.15,1011.06,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0,1,101,298.15,943.96,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.008347,0.25,101,298.15,1138.12,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.009591,1,101,298.15,944.24,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.009703,0,101,298.15,1198.1,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.01436,0.5,101,298.15,1075.43,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.01489,0.75,101,298.15,1010.99,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.02101,0.25,101,298.15,1137.17,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.02384,0,101,298.15,1196.5,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
XgRIq,0.02399,1,101,298.15,944.64,Zhao et al. (2003b),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AATgdC,CC1COC(=O)O1,propylene carbonate,ABfdDn,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],tetrahexylammonium bromide
