setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of ethanol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WShwU,0.0148,0.0436,100,298.15,1010.3,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,5000,298.15,1012.5,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,10000,298.15,1014.6,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,15000,298.15,1016.7,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,20000,298.15,1018.8,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,25000,298.15,1020.9,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0148,0.0436,30000,298.15,1023,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,100,298.15,1019.6,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,5000,298.15,1021.7,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,10000,298.15,1023.9,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,15000,298.15,1026,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,20000,298.15,1028.1,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,25000,298.15,1030.2,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0383,0.1129,30000,298.15,1032.3,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0539,0.0421,100,298.15,1059.2,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0539,0.0421,5000,298.15,1061.4,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
WShwU,0.0539,0.0421,10000,298.15,1063,Rilo et al. (2010a),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate
