setid,"Temperature, K","Pressure, kPa",Mole fraction of trimethylbenzylammonium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uKGXW,283.15,100,0.25,1127,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,288.15,100,0.25,1124,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,293.15,100,0.25,1121,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,298.15,100,0.25,1117,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,303.15,100,0.25,1114,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,308.15,100,0.25,1111,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,313.15,100,0.25,1107,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,318.15,100,0.25,1104,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,323.15,100,0.25,1101,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,328.15,100,0.25,1097,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,333.15,100,0.25,1094,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,338.15,100,0.25,1091,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
uKGXW,343.15,100,0.25,1087,Basaiahgari et al. (2018),Density,Liquid,AAjkLa,C[N+](C)(C)Cc1ccccc1.[Cl-],trimethylbenzylammonium chloride,AActxI,OCCOCCOCCO,triethylene glycol,,,
