setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oMEQi,293.15,0,100,806.7,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.0813,100,860.4,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.1595,100,904.7,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.2402,100,944.9,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.35,100,991.2,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.4403,100,1023.7,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.5597,100,1060.8,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.6503,100,1085.4,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.7398,100,1107,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
oMEQi,293.15,0.8502,100,1130.6,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAONLE,CCC(C)O,butan-2-ol,,,
