setid,Mole fraction of ethylbenzene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MfmQZ,0,101,283.15,1534.04,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.0548,101,283.15,1516.99,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.1041,101,283.15,1501.06,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.1985,101,283.15,1466.68,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.2934,101,283.15,1428.5,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.3956,101,283.15,1382.37,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.4594,101,283.15,1349.64,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,0.4817,101,283.15,1337.81,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
MfmQZ,1,101,283.15,875.67,Gonzalez et al. (2015c),Density,Liquid,AAUVOo,CCc1ccccc1,ethylbenzene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
