setid,"Temperature, K","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","MolaLity of L-leucine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YhuvO,288.15,0.005,0,100,999.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.01834,100,999.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.03395,100,1000.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.04936,100,1000.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.0661,100,1000.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.07309,100,1001,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.08073,100,1001.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.005,0.098076,100,1001.6,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0,100,999.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.01817,100,999.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.03436,100,1000.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.04964,100,1000.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.06614,100,1001.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.07252,100,1001.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.08203,100,1001.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.01,0.09813,100,1001.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0,100,1000.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.0185,100,1000.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.03342,100,1001.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.04842,100,1001.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.06579,100,1001.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.07305,100,1002,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.08162,100,1002.2,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.03,0.09995,100,1002.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0,100,1001.1,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.01809,100,1001.5,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.03331,100,1001.9,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.04934,100,1002.3,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.06584,100,1002.7,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
YhuvO,288.15,0.05,0.07331,100,1002.8,Kumar et al. (2017c),Density,Liquid,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,AADYJk,O,water
