setid,"Temperature, K",Mole fraction of 1-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CKufm,293.15,0.0496,101,1050.26,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.0999,101,1080.12,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.2007,101,1099.43,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.2985,101,1099.75,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.3986,101,1096.26,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.496,101,1092.17,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.6467,101,1087.46,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.7954,101,1083.49,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,293.15,0.8987,101,1081.48,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,298.15,0.0496,101,1047.88,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
CKufm,298.15,0.0999,101,1076.77,Qian et al. (2012),Density,Liquid,AADYJk,O,water,AAbRuq,CC(=O)[O-].Cn1cc[nH+]c1,1-methylimidazolium acetate,,,
