setid,Mole fraction of 1-methylethyl ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GokOi,0.0415,298.15,101,1314.43,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.0984,298.15,101,1305.77,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.1644,298.15,101,1294.72,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.2055,298.15,101,1287.14,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.301,298.15,101,1267.67,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.3956,298.15,101,1244.7,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.4996,298.15,101,1214.3,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.5837,298.15,101,1184.3,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.7048,298.15,101,1129.3,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.8036,298.15,101,1068.7,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
GokOi,0.8991,298.15,101,988.9,Andreatta et al. (2010a),Density,Liquid,AAThgV,CC(=O)OC(C)C,1-methylethyl ethanoate,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
