setid,"Temperature, K","MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kySrk,293.15,0.1111,101,999.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.1838,101,1000.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.2822,101,1001.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.3953,101,1003.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.4799,101,1004.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.6019,101,1005.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.6963,101,1007,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.8167,101,1008.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,0.8988,101,1009.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,1.0021,101,1010.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,1.0887,101,1011.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,293.15,1.1899,101,1012.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.1111,101,998.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.1838,101,999.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.2822,101,1000.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.3953,101,1001.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.4799,101,1002.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.6019,101,1004.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.6963,101,1005.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.8167,101,1006.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,0.8988,101,1008.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,1.0021,101,1009.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,1.0887,101,1010.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,298.15,1.1899,101,1011.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.1111,101,996.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.1838,101,997.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.2822,101,999,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.3953,101,1000.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.4799,101,1001.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.6019,101,1002.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.6963,101,1003.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.8167,101,1005.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,0.8988,101,1006.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,1.0021,101,1007.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,1.0887,101,1008.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,303.15,1.1899,101,1009.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.1111,101,995.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.1838,101,996.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.2822,101,997.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.3953,101,998.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.4799,101,999.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.6019,101,1000.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.6963,101,1001.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.8167,101,1002.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,0.8988,101,1003.7,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,1.0021,101,1004.7,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,1.0887,101,1005.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,308.15,1.1899,101,1006.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.1111,101,993.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.1838,101,994.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.2822,101,995.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.3953,101,996.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.4799,101,997.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.6019,101,998.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.6963,101,999.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.8167,101,1000.5,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,0.8988,101,1001.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,1.0021,101,1002.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,1.0887,101,1002.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,313.15,1.1899,101,1003.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.1111,101,991.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.1838,101,992.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.2822,101,993.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.3953,101,994.3,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.4799,101,995.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.6019,101,996.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.6963,101,997.1,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.8167,101,998.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,0.8988,101,999,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,1.0021,101,999.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,1.0887,101,1000.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,318.15,1.1899,101,1001.4,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.1111,101,989.2,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.1838,101,989.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.2822,101,990.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.3953,101,991.9,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.4799,101,992.7,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.6019,101,993.8,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.6963,101,994.7,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
kySrk,323.15,0.8167,101,995.6,Panda et al. (2018),Density,Liquid,AAqJgN,CCCCCC(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium hexanoate",AADYJk,O,water,,,
