setid,"Moles per mass of solution: tetraethylammonium perchlorate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OHYkx,0,298.15,101,1095.33,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.02052,298.15,101,1095.9,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.02737,298.15,101,1096.09,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.03546,298.15,101,1096.29,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.04219,298.15,101,1096.46,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.05175,298.15,101,1096.7,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.06497,298.15,101,1097.04,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.0823,298.15,101,1097.48,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.09709,298.15,101,1097.85,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.1125,298.15,101,1098.23,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.1251,298.15,101,1098.56,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.1388,298.15,101,1098.9,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
OHYkx,0.1673,298.15,101,1099.62,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsJpx,CC[N+](CC)(CC)CC.[O-]Cl(=O)(=O)=O,tetraethylammonium perchlorate,,,
