setid,Mole fraction of 1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
uZhvJ,0.002,0.063,298.15,101,805,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.004,0.116,298.15,101,811,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.005,0.152,298.15,101,817,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.007,0.224,298.15,101,821,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.008,0.264,298.15,101,824,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.009,0.291,298.15,101,828,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.01,0.325,298.15,101,830,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.011,0.35,298.15,101,837,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.011,0.381,298.15,101,842,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
uZhvJ,0.015,0.404,298.15,101,845,Hu et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AAQxSq,CCOC(C)=O,ethyl acetate,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate
