setid,Mole fraction of hexane,Mole fraction of toluene,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FAMhX,0,0.307,298.15,1161.7,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.002,0.202,298.15,1184.8,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.003,0.217,298.15,1181.2,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.003,0.251,298.15,1173.7,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.006,0.115,298.15,1199.8,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.006,0.149,298.15,1193.4,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.009,0,298.15,1217.2,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.011,0.05,298.15,1210.8,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.016,0.026,298.15,1213.7,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
FAMhX,0.016,0.099,298.15,1201.4,Gonzalez et al. (2010a),Density,Liquid mixture 1,Liquid mixture 2,,10,AARlpN,Cc1ccccc1,toluene,AAQdzy,CCCCCC,hexane
