setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oKKhv,298.15,0,101,1097.6,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,298.15,0.0482,101,1111.1,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,298.15,0.1008,101,1124.3,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,298.15,0.1514,101,1135,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,298.15,0.2055,101,1146.4,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,298.15,0.2481,101,1154.5,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0,101,1094.5,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0.0482,101,1107.9,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0.1008,101,1121.1,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0.1514,101,1131.7,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0.2055,101,1143,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,303.15,0.2481,101,1151.2,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,308.15,0,101,1091.4,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,308.15,0.0482,101,1104.9,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,308.15,0.1008,101,1118,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
oKKhv,308.15,0.1514,101,1128.6,Araujo et al. (2013),Density,Liquid,AAZzVh,Nc1ncnc2[nH]cnc12,6-amino-1H-purine,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
