setid,"Temperature, K","MolaLity of 1-butyl-3-dodecyl-1H-imidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tXAPZ,293.15,0,100,998.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0055,100,998.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0082,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0092,100,998.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0149,100,998.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0217,100,998.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0252,100,998.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0317,100,998.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0337,100,998.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0399,100,999,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0479,100,999.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,293.15,0.0503,100,999.2,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0,100,997,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0055,100,997.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0082,100,997.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0092,100,997.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0149,100,997.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0217,100,997.4,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0252,100,997.5,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0317,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0337,100,997.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0399,100,997.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0479,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,298.15,0.0503,100,997.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0055,100,995.6,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0082,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0092,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0149,100,995.7,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0217,100,995.8,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0252,100,995.9,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0317,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0337,100,996,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0399,100,996.1,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0479,100,996.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
tXAPZ,303.15,0.0503,100,996.3,Zec et al. (2018a),Density,Liquid,AADYJk,O,water,ABTqhg,CCCCCCCCCCCCn1cc[n+](CCCC)c1.[Br-],1-butyl-3-dodecyl-1H-imidazolium bromide,,,
