setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of sodium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NJycK,288.15,0,84.5,0.035,1000.55,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00256,84.5,0.035,1000.65,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00285,84.5,0.035,1000.66,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00378,84.5,0.035,1000.7,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00488,84.5,0.035,1000.74,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00504,84.5,0.035,1000.75,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.0055,84.5,0.035,1000.76,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00606,84.5,0.035,1000.78,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00769,84.5,0.035,1000.83,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.00899,84.5,0.035,1000.87,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.01353,84.5,0.035,1001.01,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.0151,84.5,0.035,1001.05,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.01835,84.5,0.035,1001.14,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.02137,84.5,0.035,1001.22,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.02626,84.5,0.035,1001.36,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.02989,84.5,0.035,1001.46,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.04546,84.5,0.035,1001.88,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.06577,84.5,0.035,1002.44,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.07572,84.5,0.035,1002.7,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,288.15,0.09927,84.5,0.035,1003.33,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0,84.5,0.035,999.636,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00256,84.5,0.035,999.728,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
NJycK,293.15,0.00285,84.5,0.035,999.736,Golabiazar and Sadeghi (2014b),Density,Liquid,AALMbY,[Cl-].[Na+],sodium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
