setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xmTDt,298.15,0,101,997.1,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.025,101,1038.1,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.05,101,1068.4,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.075,101,1089.3,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.1,101,1104.5,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.148,101,1123.9,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.199,101,1137.1,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.251,101,1145.7,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.298,101,1151.3,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.346,101,1154.9,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,298.15,0.441,101,1160.6,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0,101,992.2,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.025,101,1031.2,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.05,101,1059.7,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.075,101,1079.7,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.1,101,1093.5,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.148,101,1113.6,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.199,101,1126.8,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.251,101,1135.5,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.298,101,1141.2,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.346,101,1144.8,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,313.15,0.441,101,1150.6,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,323.15,0,101,988.1,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,323.15,0.025,101,1025.9,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,323.15,0.05,101,1053.6,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,323.15,0.075,101,1073.1,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
xmTDt,323.15,0.1,101,1087.6,Cade et al. (2014),Density,Liquid,AADYJk,O,water,AAtDOY,CCCC[n+]1ccn(C)c1.CS(=O)(=O)[O-],1-butyl-3-methylimidazolium methanesulfonate,,,
