setid,"MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QpPJI,0.0975,101,298.15,1001.6,Shekaari and Kazempour (2012c),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
QpPJI,0.1981,101,298.15,1006.3,Shekaari and Kazempour (2012c),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
QpPJI,0.2935,101,298.15,1010.5,Shekaari and Kazempour (2012c),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
QpPJI,0.3876,101,298.15,1014.6,Shekaari and Kazempour (2012c),Density,Liquid,AADYJk,O,water,AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide,,,
