setid,Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gRbLW,0,293.15,100.7,888.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,298.15,100.7,883.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,303.15,100.7,877.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,308.15,100.7,872.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,313.15,100.7,866.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,318.15,100.7,861.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0,323.15,100.7,855.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0.0871,293.15,100.7,996,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0.0871,298.15,100.7,993.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0.0871,303.15,100.7,989.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
gRbLW,0.0871,308.15,100.7,986.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
