setid,"Temperature, K",Weight fraction of 1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EnhwF,298.15,0.3002,101,1123.8,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.3196,101,1133.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.3385,101,1142.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.3599,101,1153.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.3805,101,1163.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.4,101,1172.7,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.4202,101,1184.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.4399,101,1194.3,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.4605,101,1205.9,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
EnhwF,298.15,0.4804,101,1216.1,Ferreira et al. (2020),Density,Liquid,ABdylr,Cn1cc[n+](CCO)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium nonafluoro-1-butanesulfonate,AADYJk,O,water,,,
