setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GqHPf,288.15,0,101.3,1209.44,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.0501,101.3,1243.51,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.1002,101.3,1270.83,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.15,101.3,1293.02,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.2001,101.3,1311.43,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.3002,101.3,1340.53,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.3985,101.3,1362.04,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.5002,101.3,1379.44,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.5984,101.3,1392.81,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
GqHPf,288.15,0.7018,101.3,1404.39,Liu et al. (2021a),Density,Liquid,ABfReB,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C,"1-butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)amide",AATgdC,CC1COC(=O)O1,propylene carbonate,,,
