setid,"Temperature, K",Mole fraction of 1-butyl-3-ethylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rqtKg,293.15,0.0251,100,846.2,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.0498,100,891.1,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.0749,100,929.9,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.1043,100,968.4,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.1485,100,1014.9,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.199,100,1057.1,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.243,100,1086.3,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.302,100,1117.7,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.3975,100,1156.5,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.4887,100,1183.8,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.6025,100,1209.3,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.7015,100,1226.6,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.7965,100,1240.5,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,293.15,0.888,100,1252,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,298.15,0.0251,100,842.1,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
rqtKg,298.15,0.0498,100,886.7,Belic et al. (2017),Density,Liquid,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,AAGIBL,CO,methanol,,,
