setid,"Temperature, K",Mole fraction of aluminum chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gQKvy,288.15,0.5,100,1304.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,288.15,0.55,100,1329.1,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,288.15,0.6,100,1358,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,288.15,0.6667,100,1401,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,298.15,0.5,100,1296.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,298.15,0.55,100,1320.3,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,298.15,0.6,100,1348.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,298.15,0.6667,100,1390.6,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,308.15,0.5,100,1288.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,308.15,0.55,100,1312.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,308.15,0.6,100,1340.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,308.15,0.6667,100,1381.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,318.15,0.5,100,1280.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,318.15,0.55,100,1303.9,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,318.15,0.6,100,1331.6,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,318.15,0.6667,100,1372.2,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,328.15,0.5,100,1272.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,328.15,0.55,100,1296.2,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,328.15,0.6,100,1323.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,328.15,0.6667,100,1362.7,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
gQKvy,338.15,0.5,100,1264.8,Elias and Wilkes (1994),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
