setid,"Temperature, K","MolaLity of glycylglycine, mol/kg","Solvent: MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rvgyA,288.15,0.09883,0.01,101,1004.75,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.0992,0.03,101,1005.44,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.10039,0,101,1004.74,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.19952,0.01,101,1010.24,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.20017,0,101,1010.22,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.20143,0.03,101,1010.97,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.29969,0.01,101,1015.6,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.3011,0.03,101,1016.25,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.30224,0,101,1015.72,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.39945,0,101,1020.84,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.39999,0.03,101,1021.39,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.40031,0.01,101,1020.87,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.49755,0.03,101,1026.35,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.49894,0.01,101,1025.93,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.50316,0,101,1026.19,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.59936,0.03,101,1031.43,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.60124,0.01,101,1031.08,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.6052,0,101,1031.35,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.69663,0.03,101,1036.17,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.69755,0.01,101,1035.82,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.70488,0,101,1036.29,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
rvgyA,288.15,0.79914,0.01,101,1040.73,Chadha et al. (2016),Density,Liquid,AAZVtd,NCC(=O)NCC(=O)O,glycylglycine,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
