setid,"Temperature, K",Mole fraction of 1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AkTCm,298.15,0.1012,101,971,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.2043,101,1033,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.3031,101,1075,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.4051,101,1145,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.4985,101,1150,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.602,101,1158,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.7001,101,1166,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.8001,101,1173,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,298.15,0.8999,101,1174,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
AkTCm,303.15,0.1012,101,966,Wei et al. (2013),Density,Liquid,AAGIBL,CO,methanol,ABAJyw,CCCC[n+]1ccn(C)c1.N[C@@H](CC(=O)O)C(=O)[O-],1-butyl-3-methyl-1H-imidazolium (S)-2-amino-3-carboxypropanoate,,,
