setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium tetrafluoroborate,Mole fraction of N-methylpyrrolidone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZqIBA,293.15,0.1613,0.7672,101,1113.9,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.1797,0.7366,101,1123.9,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.1944,0.7089,101,1132.3,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.2049,0.6892,101,1138.2,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.2233,0.6551,101,1148.2,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.2455,0.6157,101,1159.6,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.2619,0.5885,101,1167.3,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.2877,0.5481,101,1178.2,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.3032,0.5257,101,1184.1,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.3282,0.4924,101,1192.6,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.3484,0.4674,101,1198.7,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.3649,0.4482,101,1203.2,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
ZqIBA,293.15,0.3891,0.4218,101,1209.3,Sharma et al. (2013b),Density,Liquid,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,AADYJk,O,water,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate
