setid,"Temperature, K","MolaLity of tetraethylammonium chloride, mol/kg","MolaLity of triethylamine, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ueSha,293.15,0.13266,0,101,998.354,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.13266,0.54356,101,990.15,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.13266,0.68128,101,988.407,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.13266,0.93953,101,984.733,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.13593,0,101,998.199,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.18041,0,101,998.232,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.18041,0.53828,101,990.353,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.18041,0.63242,101,989.14,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.23557,0,101,998.425,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.23557,0.32024,101,993.473,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.23557,0.54562,101,989.522,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.32027,0,101,998.469,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.37591,0,101,998.572,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.39192,0,101,998.635,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.44309,0.07838,101,997.454,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.44309,0.09401,101,997.153,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.61791,0,101,999.247,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,293.15,0.90346,0,101,999.866,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
ueSha,298.15,0,0.03356,101,996.635,Mendonca et al. (2002),Density,Fluid (supercritical or subcritical phases),AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AATXhs,CCN(CC)CC,triethylamine,AADYJk,O,water
