setid,"Temperature, K",Mole fraction of 3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Rkres,288.15,0.0977,101,911.2,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.2202,101,990,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.3246,101,1031.7,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.4377,101,1063.2,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.4947,101,1075.5,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.6214,101,1097.3,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.7252,101,1110.9,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.7455,101,1113.2,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,0.9063,101,1128.5,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
Rkres,288.15,1,101,1136.6,Rilo et al. (2012b),Density,Liquid,AAIsrh,CCO,ethanol,ABELek,CCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,3-ethyl-1-methyl-1H-imidazolium hexyl sulfate,,,
