setid,"Temperature, K","Solvent: MolaLity of 1-methylimidazolium chloride, mol/kg","MolaLity of L-aminosuccinic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ykrqr,288.15,0,0.0204,100,1000.4,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0,0.0394,100,1001.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0,0.0605,100,1002.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0,0.0806,100,1004,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0,0.1,100,1005.2,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0,100,999.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0.021,100,1000.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0.04,100,1001.9,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0.0594,100,1003.1,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0.0778,100,1004.2,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.01,0.0986,100,1005.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0,100,1000,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0.0208,100,1001.3,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0.0395,100,1002.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0.059,100,1003.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0.0805,100,1005,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,288.15,0.03,0.0987,100,1006.1,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0,0.0204,100,998.3,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0,0.0394,100,999.4,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0,0.0605,100,1000.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0,0.0806,100,1001.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0,0.1,100,1003,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0,100,997.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0.021,100,998.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0.04,100,999.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0.0594,100,1001,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0.0778,100,1002,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.01,0.0986,100,1003.3,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0,100,997.9,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0.0208,100,999.2,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0.0395,100,1000.4,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0.059,100,1001.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0.0805,100,1002.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,298.15,0.03,0.0987,100,1004,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0,0.0204,100,995.2,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0,0.0394,100,996.4,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0,0.0605,100,997.6,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0,0.0806,100,998.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0,0.1,100,999.9,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0,100,994.5,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0.021,100,995.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0.04,100,996.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0.0594,100,997.9,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0.0778,100,999,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.01,0.0986,100,1000.2,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0,100,994.9,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0.0208,100,996.1,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0.0395,100,997.3,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0.059,100,998.4,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0.0805,100,999.7,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
Ykrqr,308.15,0.03,0.0987,100,1000.8,Gaba et al. (2019),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAWpNY,Cn1cc[nH+]c1.[Cl-],1-methylimidazolium chloride,AADYJk,O,water
