setid,Mole fraction of 1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VxqQi,0,100,293.15,1524,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.01,100,293.15,1517.2,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.04,100,293.15,1506.7,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.08,100,293.15,1490.4,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.16,100,293.15,1458.2,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.24,100,293.15,1426.8,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.32,100,293.15,1396.6,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.43,100,293.15,1371,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.52,100,293.15,1344.3,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
VxqQi,0.63,100,293.15,1311.4,Bruce et al. (2017),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
